ADS.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;adidas-aktie
ALV.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;allianz-aktie
BAS.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;basf-aktie
BAYN.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;bayer-aktie
BEI.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;beiersdorf-aktie
BMW.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;bmw-aktie
CBK.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;commerzbank-aktie
CON.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;continental-aktie
DAI.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;daimler-aktie
DB1.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;deutsche_b_rse-aktie
DBK.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;deutsche_bank-aktie
DPW.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;deutsche_post-aktie
DTE.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;deutsche_telekom-aktie
EOAN.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;e.on-aktie
FME.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;fresenius_medical_care-aktie
FRE.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;fresenius-aktie
HEI.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;heidelbergcement-aktie
HEN3.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;henkel_vz-aktie
IFX.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;infineon-aktie
LHA.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;lufthansa-aktie
LIN.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;linde-aktie
MRK.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;merck_kgaa-aktie
MUV2.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;munich_re-aktie
RWE.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;rwe-aktie
SAP.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;sap-aktie
SDF.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;k%2Bs-aktie
PSM.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;prosiebensat.1_media-aktie
SIE.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;siemens-aktie
TKA.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;thyssenkrupp-aktie/
VNA.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;historische_ereignisse
VOW3.DE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;volkswagen_vz-aktie
AAPL;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;apple-aktie
AXP;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;american_express-aktie
BA;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;boeing-aktie
CAT;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;caterpillar-aktie
CSCO;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;cisco_systems-aktie
CVX;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;chevron-aktie
DD;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;du_pont_(e.i.)_de_nemours-aktie
DIS;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;walt_disney-aktie
GE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;general_electric-aktie
GS;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;goldman_sachs-aktie
HD;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;home_depot-aktie
IBM;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;ibm-aktie
INTC;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;intel-aktie
JNJ;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;johnson_%26_johnson-aktie
JPM;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;jp_morgan_chase-aktie
KO;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;coca-cola-aktie
MCD;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;mcdonalds-aktie
MMM;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;3m_company-aktie
MRK;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;merck_%26_co-aktie
MSFT;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;microsoft-aktie
NKE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;nike-aktie
PFE;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;pfizer-aktie
PG;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;procter_%26_gamble-aktie
TRV;ArivaDividendHistory;http://www.ariva.de/{shareName}/historische_ereignisse;travelers_companies-aktie
