^GDAXI;846900;EUR;Deutscher Aktien Index
ADS.DE;A1EWWW;EUR;Adidas AG;Deutscher Aktien Index
ALV.DE;840400;EUR;Allianz SE;Deutscher Aktien Index
BAS.DE;BASF11;EUR;BASF SE;Deutscher Aktien Index
BAYN.DE;BAY001;EUR;Bayer AG;Deutscher Aktien Index
BEI.DE;520000;EUR;Beiersdorf AG;Deutscher Aktien Index
BMW.DE;519000;EUR;Bayerische Motoren Werke Aktiengesellschaft;Deutscher Aktien Index
CBK.DE;CBK100;EUR;Commerzbank AG;Deutscher Aktien Index
CON.DE;543900;EUR;Continental Aktiengesellschaft;Deutscher Aktien Index
DAI.DE;710000;EUR;Daimler AG;Deutscher Aktien Index
DB1.DE;581005;EUR;Deutsche Boerse AG;Deutscher Aktien Index
DBK.DE;514000;EUR;Deutsche Bank AG;Deutscher Aktien Index
DPW.DE;555200;EUR;Deutsche Post AG;Deutscher Aktien Index
DTE.DE;555750;EUR;Deutsche Telekom AG;Deutscher Aktien Index
EOAN.DE;ENAG99;EUR;E.ON SE;Deutscher Aktien Index
FME.DE;578580;EUR;Fresenius Medical Care AG & Co. KGAA;Deutscher Aktien Index
FRE.DE;578560;EUR;Fresenius SE & Co KGaA;Deutscher Aktien Index
HEI.DE;604700;EUR;HeidelbergCement AG;Deutscher Aktien Index
HEN3.DE;604843;EUR;Henkel AG & Co. KGaA;Deutscher Aktien Index
IFX.DE;623100;EUR;Infineon Technologies AG;Deutscher Aktien Index
LHA.DE;823212;EUR;Deutsche Lufthansa AG;Deutscher Aktien Index
LIN.DE;648300;EUR;Linde Aktiengesellschaft;Deutscher Aktien Index
MRK.DE;659990;EUR;Merck KGaA;Deutscher Aktien Index
MUV2.DE;843002;EUR;Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft;Deutscher Aktien Index
RWE.DE;703712;EUR;RWE AG;Deutscher Aktien Index
SAP.DE;716460;EUR;SAP SE;Deutscher Aktien Index
SDF.DE;KSAG88;EUR;K+S Aktiengesellschaft;MDAX (Mid-Cap-DAX)
PSM.DE;PSM777;EUR;PROSIEBENSAT.1 MEDIA;Deutscher Aktien Index
SIE.DE;723610;EUR;Siemens Aktiengesellschaft;Deutscher Aktien Index
TKA.DE;750000;EUR;ThyssenKrupp AG;Deutscher Aktien Index
VNA.DE;A1ML7J;EUR;VONOVIA N;Deutscher Aktien Index
VOW3.DE;766403;EUR;Volkswagen AG;Deutscher Aktien Index
^DJI;969420;USD;Dow Jones Industrial Average
AAPL;865985;USD;Apple Inc.;Dow Jones Industrial Average
AXP;850226;USD;American Express Company;Dow Jones Industrial Average
BA;850471;USD;The Boeing Company;Dow Jones Industrial Average
CAT;850598;USD;Caterpillar Inc.;Dow Jones Industrial Average
CSCO;878841;USD;Cisco Systems, Inc.;Dow Jones Industrial Average
CVX;852552;USD;Chevron Corporation;Dow Jones Industrial Average
DD;852046;USD;E. I. du Pont de Nemours and Company;Dow Jones Industrial Average
DIS;855686;USD;The Walt Disney Company;Dow Jones Industrial Average
GE;851144;USD;General Electric Company;Dow Jones Industrial Average
GS;920332;USD;The Goldman Sachs Group, Inc.;Dow Jones Industrial Average
HD;866953;USD;The Home Depot, Inc.;Dow Jones Industrial Average
IBM;851399;USD;International Business Machines Corporation;Dow Jones Industrial Average
INTC;855681;USD;Intel Corporation;Dow Jones Industrial Average
JNJ;853260;USD;Johnson & Johnson;Dow Jones Industrial Average
JPM;850628;USD;JPMorgan Chase & Co.;Dow Jones Industrial Average
KO;850663;USD;The Coca-Cola Company;Dow Jones Industrial Average
MCD;856958;USD;McDonald's Corp.;Dow Jones Industrial Average
MMM;851745;USD;3M Company;Dow Jones Industrial Average
MRK;A0YD8Q;USD;Merck & Co. Inc.;Dow Jones Industrial Average
MSFT;870747;USD;Microsoft Corporation;Dow Jones Industrial Average
NKE;866993;USD;NIKE, Inc.;Dow Jones Industrial Average
PFE;852009;USD;Pfizer Inc;Dow Jones Industrial Average
PG;852062;USD;The Procter & Gamble Company;Dow Jones Industrial Average
TRV;A0MLX4;USD;The Travelers Companies, Inc.;Dow Jones Industrial Average
UNH;869561;USD;UnitedHealth Group Incorporated;Dow Jones Industrial Average
UTX;852759;USD;United Technologies Corporation;Dow Jones Industrial Average
V;A0NC7B;USD;Visa Inc.;Dow Jones Industrial Average
VZ;868402;USD;Verizon Communications Inc.;Dow Jones Industrial Average
WMT;860853;USD;Wal-Mart Stores Inc.;Dow Jones Industrial Average
XOM;852549;USD;Exxon Mobil Corporation;Dow Jones Industrial Average
